B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Elevation,VH_Asc,VH_Desc,VV_Asc,VV_Desc,h_canopy
1779,803.5,407,658,396,950.5,2727,3314,3432.5,3606,13.074174,-13.50597074,-14.31834403,-7.344622176,-7.511487177,20.514723
2967,2536,1016,1300.5,1425.5,1781.5,2436,2677,2703.5,2835.5,75.36605,-12.49431674,-12.82352229,1.725142888,-4.48126039,13.971542
2236.5,1171,325,563,403,1015.5,2352,2781,2950,3112.5,1734.5614,-15.47528194,-11.68617565,-9.696750932,-5.749277425,20.125
1809,838,415.5,659,400,977,2724.5,3260,3370,3579.5,8.906022,-13.65795425,-14.2478713,-7.288449785,-7.652614161,20.234887
2078,1346,743,943,911,1346,2421,2784,2720,2966,13.066185,-14.69616086,-15.32219155,-7.399516368,-8.189396675,7.380767
1859,853.5,425.5,672.5,405,965.5,2804,3393.5,3476,3648,2.614538,-13.78412001,-14.21887569,-7.347670303,-7.720177803,23.840905
2257.5,1462,594,887.5,814,1331.5,2501.5,2898,2953,3089,40.340137,-15.75959103,-15.9758587,-8.793176304,-9.200692547,5.52207185
1715,870.5,624,864,790.5,1140.5,2140,2418.5,2381.5,2581,-10.354911,-17.28035256,-17.58638623,-9.603154436,-10.05918058,14.166602
2629.5,2143.5,878,1145.5,1182,1576,2395.5,2707.5,2779,2885.5,13.009611,-13.30274794,-13.74123919,-0.281268703,-4.735854788,7.2994194
2284,1328,503,796,669,1220,2829,3448,3463,3698,585.8,-14.32861284,-15.61167668,-7.573381118,-9.025447102,21.123657
2472.5,1733.5,735,1016.5,1073.5,1560,2377,2692,2757.5,2853,199.7842,-15.54042496,-16.10986258,-8.715762422,-9.007759606,10.073212
1928,908,370,604,344,934,2948,3633,3731,3911,340.7623,-13.86712076,-12.98711357,-7.272755126,-6.204570707,35.284668
1827,962,626,832,667,1215,2234,2593,2611,2809,-10.20257,-15.5187348,-15.44823039,-8.379779442,-8.667495976,22.26056633
1899,983.5,633,813.5,640,1192.5,2415.5,2900,2879,3163,-11.487652,-15.21474363,-14.81329475,-8.21814117,-8.336679511,23.046154
2640,2180,944.5,1217.5,1255,1652.5,2396.5,2668,2706.5,2816.5,9.314827,-12.60682736,-13.63168317,0.92923572,-3.636643346,5.2701397
2639,2279.5,1053.5,1335.5,1420.5,1733,2255.5,2487,2557,2620.5,30.98202,-12.18744232,-12.17381056,-2.376827116,-4.729884017,10.496117
2309,1659.5,713.5,982.5,925,1395,2413.5,2755.5,2842,2929,7.148189,-14.12415791,-14.4298248,-1.618894016,-6.86857481,5.0047336
1777.5,870.5,575.5,798.5,645,1057,2187,2498,2501.5,2799,-15.0381155,-15.35026118,-16.00754448,-8.523394371,-9.393613081,18.877402
1464.5,735,400,598,379.5,857.5,2120.5,2463,2502.5,2603,-14.243785,-14.58582926,-14.69576209,-8.562848576,-8.499711152,18.230354
1913,871,341,548,315,853,2939,3688,3822,3947,300.55273,-14.98771333,-12.96382518,-8.540629324,-6.397528328,34.102295
1663.5,768,437.5,652.5,414,913,2647,3150,3240,3391.5,-9.930977,-13.98832369,-14.10887878,-7.523890695,-7.73389583,27.003483
2556,1883,764,1042,1058.5,1527.5,2420.5,2737.5,2827,2929,24.855082,-16.30205994,-16.46683635,-9.705810152,-8.84867102,4.15168
2441,1529,570.5,863,818.5,1369.5,2868.5,3410,3478.5,3685.5,706.338,-13.20495381,-17.03872409,-6.223862831,-10.41154961,19.472107
2145,1030,401,624,380,983,3236,3952,4060,4234,252.34615,-14.80863725,-10.00522955,-8.549970677,-3.17461025,49.70645
1506,804,469.5,684.5,471,983,2223,2622.5,2613.5,2781.5,-19.300623,-14.09873537,-14.64312398,-7.966851816,-8.615240862,14.655407
2495.5,1809.5,714,987,1009,1455.5,2344.5,2635,2737,2825,20.717302,-16.1379725,-16.80030886,-9.717687486,-8.147292695,3.109744
2428.5,1586,530.5,793,785.5,1294,2534,2980.5,3072,3242.5,705.31854,-14.70853909,-15.33898034,-7.762952394,-8.269423046,19.134155
2758.5,2251,915.5,1218.5,1347,1725.5,2417,2727.5,2842,2886.5,232.22475,-14.29087465,-15.36390586,-5.281918549,-6.93900013,3.662735
2241,1464,622,878,816.5,1309.5,2354,2722.5,2819,2954,3.7843506,-16.25620747,-16.2494705,-9.219331406,-9.657884214,3.8386402
2388,1687.5,707.5,959,937.5,1409.5,2425.5,2803.5,2901.5,3000,12.942138,-15.19622554,-15.55360436,-7.610786075,-7.100314529,3.3687086
2399,1502,654,964,854,1380,2862,3355,3513,3598,59.88921,-15.55446576,-15.78220939,-8.833465008,-9.288780426,4.9840355
2713,2039,853,1126,1057,1550,2656,2999,3048,3211,47.35154,-13.82654327,-13.86009896,-4.390813613,-3.706211823,3.4296913
2324.5,1637.5,665.5,917,908.5,1364,2335,2709.5,2783,2904.5,5.842628,-16.14529266,-16.50917477,-9.50603824,-9.2562121,2.7918108
1717,1137,667,943,832,1319,2315,2591,2637,2731,-17.9808,-14.73863474,-15.30556164,-7.855921604,-7.816697441,8.626247
2442,1781.5,768.5,1014.5,1030.5,1472.5,2465,2803.5,2913.5,3002,-4.920629,-15.39661991,-15.51461089,-5.894853389,-7.289658101,6.1046066
2291.5,1549.5,721,992,951.5,1433.5,2414,2772.5,2858.5,2959,-6.540544,-16.42726103,-16.626657,-8.699521811,-9.456816089,6.883094
4109,3383,1515.5,2111.5,2598,3057.5,3438,3666.5,3681,3752.5,123.45177,-14.4605819,-16.02927826,-6.770156061,-8.730044504,16.88844
1888.5,1263,542,785,807.5,1207.5,2327,2687,2726.5,2834,1940.1769,-15.91843956,-13.50593909,-8.081662058,-4.848385183,7.744507
2184.5,1498.5,702.5,998,930.5,1415.5,2459.5,2807.5,2864.5,2967.5,-8.122218,-15.89294433,-16.17017676,-7.124719283,-7.303678897,4.88265215
2321,2004,949,1212,1479,1667,1918,2045,2118,2161,307.68884,-15.59415309,-15.92965698,-7.836671378,-8.738839577,5.6816406
2615.5,1940.5,828,1109,1108.5,1619.5,2708.5,3139.5,3196,3311.5,30.80487,-15.91107793,-16.00264541,-8.421712913,-9.38523556,5.2552414
2381,1897,849,1139,1321,1628,2202,2429,2477,2587,318.0572,-15.52171786,-15.89229644,-8.172202781,-9.210467123,8.28018175
2709,2040,768,1027,1369,1646,1948,2131,2210,2342,333.81406,-17.40639336,-17.74285206,-10.97624199,-11.23476243,9.0445865
2141.5,1148.5,349.5,692,429.5,1175.5,3268,3779.5,3946,4013,1938.6204,-17.64985965,-13.39326837,-11.64499494,-6.315546149,12.163818
2599,1636,649,959,842,1487,2972.5,3436,3475,3677,37.09486,-14.63933689,-15.3415718,-7.038022985,-5.56236046,6.096843775
2625.5,1744,803.5,1114.5,1080.5,1632.5,2891.5,3288,3270,3505.5,121.941635,-13.09235902,-16.13688665,-5.922116179,-9.17158356,10.803154
2437,1786,790.5,1053,1029,1514.5,2530.5,2862.5,2897,3087.5,26.681944,-13.51180005,-13.49758403,-3.469203578,-0.795882495,8.6192675
2446.5,1463.5,609.5,908.5,822.5,1431,2824,3308,3347.5,3549,196.00383,-15.16361553,-15.41232912,-8.547318781,-9.116743037,6.8304443
2691.5,1990.5,869.5,1159,1166,1652,2719.5,3106,3117.5,3289.5,80.81816,-12.00351474,-13.75462156,-2.87827217,-6.718303981,14.516766
2424,1623.5,682,953.5,937.5,1429.5,2606.5,3001,3089,3205,132.5145,-14.81964699,-15.43795845,-8.202915745,-8.689597421,8.555211333
2309,1129.5,358.5,597.5,408,1008.5,3022,3784.5,3905.5,4073,357.3165,-14.42687889,-14.25581363,-8.533625226,-7.571516267,20.130249
